,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
549,New Himalaya Travels,INR 700,3.6,27 Seats available,Volvo A/C Semi Sleeper (2+2),19:30,05h 45m,01:15,Bharat Petrol Pump
550,City Land Travels,650,3.6,22 Seats available,Volvo A/C Semi Sleeper (2+2),19:00,05h 40m,00:40,HRTC Workshop Dharamshala Byp...
551,City Land Travels,699,3.2,27 Seats available,Volvo A/C Semi Sleeper (2+2),20:30,05h 50m,02:20,HRTC Workshop Dharamshala Byp...
552,A N Holidays,1249,3.2,,Bharat Benz A/C Semi Sleeper (2+2),19:00,04h 59m,23:59,
553,City Land Travels,838,3.2,,Bharat Benz (2+2),19:25,04h 34m,23:59,
554,City Land Travels,650,,,Volvo A/C Semi Sleeper (2+2),18:50,05h 50m,00:40,
555,City Land Travels,838,,,Bharat Benz (2+2),19:15,04h 44m,23:59,
556,A N Holidays,899,,,Volvo A/C Semi Sleeper (2+2),20:00,03h 59m,23:59,
557,A N Holidays,1249,,,Bharat Benz A/C Semi Sleeper (2+2),19:30,04h 29m,23:59,
558,A N Holidays,899,,,Volvo A/C Semi Sleeper (2+2),20:35,03h 24m,23:59,
559,Chandigarh Transport Undertaking (CTU) - 165913,INR 640,3.8,35 Seats available,HVAC Seater (2+3),10:15,11h 00m,21:15,Subhash Parking Katra
560,Laxmi holidays,770,4.5,26 Seats available,Bharat Benz A/C Sleeper (2+1),20:00,08h 50m,04:50,Subhash Parking Katra
561,Laxmi holidays,684,4.6,25 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),16:00,09h 30m,01:30,Subhash Parking Katra
562,Laxmi holidays,760,4.2,38 Seats available,VE A/C Seater / Sleeper (2+1),19:30,08h 50m,04:20,Subhash Parking Katra
563,Laxmi holidays,1194,5.0,38 Seats available,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,09h 00m,03:30,Subhash Parking Katra
564,Laxmi holidays,578,4.9,40 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),17:30,08h 45m,02:15,Subhash Parking Katra
565,Laxmi holidays,1026,4.3,47 Seats available,Volvo 9600 Multi-Axle A/C Sleeper (2+1),17:00,09h 00m,02:00,Subhash Parking Katra
566,Laxmi holidays,578,4.8,45 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),21:00,08h 30m,05:30,Subhash Parking Katra
567,Laxmi holidays,578,3.2,31 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),20:30,08h 40m,05:10,Subhash Parking Katra
568,Laxmi holidays,855,4.7,26 Seats available,Bharat Benz A/C Sleeper (2+1),16:30,09h 30m,02:00,Subhash Parking Katra
569,Laxmi holidays,855,3.6,44 Seats available,Bharat Benz A/C Sleeper (2+1),19:30,09h 00m,04:30,Subhash Parking Katra
570,Laxmi holidays,578,3.7,31 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),19:00,08h 40m,03:40,Moonlight Parking - Boarding ...
571,IntrCity SmartBus,INR 583,4.5,36 Seats available,VE A/C Seater / Sleeper (2+1),18:30,09h 10m,03:40,katra
572,Ram Dalal Holidays,527,4.2,13 Seats available,A/C Seater/Sleeper (2+1),18:30,09h 00m,03:30,Rtc bus stand
573,Travel Point,528,3.5,38 Seats available,A/C Seater / Sleeper (2+2),14:30,09h 00m,23:30,New bus stand katra
574,Moon Light Travels Katra,719,2.3,37 Seats available,A/C Sleeper (2+2),19:00,10h 30m,05:30,Katra
575,Vijay Tour and Travels,INR 900,2.2,52 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),15:00,10h 00m,01:00,Katra
576,Apex Bus Travels,1849,2.0,8 Seats available,A/C Seater / Sleeper (2+2),16:00,09h 15m,01:15,DURGA BUS PARKING NEAR ASIA C...
577,Apex Bus Travels,1849,4.5,31 Seats available,A/C Seater / Sleeper (2+2),16:00,09h 45m,01:45,Katra
578,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),INR 999,4.5,35 Seats available,VE A/C Seater / Sleeper (2+1),19:00,08h 55m,03:55,Katra
579,Gola Bus Service,INR 499,4.3,36 Seats available,VE A/C Seater / Sleeper (2+1),19:10,09h 10m,04:20,Moonlight Parking - Boarding ...
580,Gola Bus Service,INR 499,4.3,40 Seats available,A/C Seater/Sleeper (2+1),18:40,09h 10m,03:50,Moonlight Parking - Boarding ...
581,IntrCity SmartBus,INR 614,4.3,30 Seats available,A/C Seater / Sleeper (2+1),20:30,09h 00m,05:30,Moonlight Parking - Boarding ...
582,IntrCity SmartBus,INR 816,4.3,32 Seats available,VE A/C Seater / Sleeper (2+1),19:15,09h 10m,04:25,New Bus Stand Katra
583,IntrCity SmartBus,INR 966,4.3,39 Seats available,AC Sleeper (2+1),16:30,08h 50m,01:20,Moonlight Parking - Boarding ...
584,Zingbus Plus,674,4.2,36 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),17:30,09h 25m,02:55,Subhash Parking Katra
585,IntrCity SmartBus,INR 542,3.8,46 Seats available,A/C Seater / Sleeper (2+1),20:00,09h 00m,05:00,Katra
586,Deltin Travels,INR 570,3.6,39 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),20:00,08h 30m,04:30,Katra New BUS Stand
587,Awadh Travels,1079,3.6,21 Seats available,A/C Sleeper (2+2),18:30,09h 30m,04:00,Moon Light Parking Katra
588,City Land Travels,938,3.6,18 Seats available,A/C Sleeper (2+1),14:15,09h 44m,23:59,Near Hotel Katra Continental
589,Ashok Bus Service,474,3.5,45 Seats available,VE A/C Seater / Sleeper (2+1),18:30,09h 20m,03:50,New Bus Stand
590,City Land Travels,938,3.5,37 Seats available,A/C Seater/Sleeper (2+1),16:30,08h 50m,01:20,Katra
591,Jamna Travels-Jammu,INR 699,3.3,39 Seats available,AshokLeyland Stile A/C,19:30,09h 00m,04:30,Geeta Lodge parking Railway R...
592,Baru travels,INR 750,3.6,33 Seats available,A/C Seater / Sleeper (2+2),18:15,10h 50m,05:05,Moon Light Parking Katra
593,Lavish Travels,467,2.7,31 Seats available,A/C Seater / Sleeper (2+2),14:40,10h 35m,01:15,Moon Light Parking Katra
594,Goel Tourist (Regd),INR 550,2.8,28 Seats available,A/C Seater / Sleeper (2+2),14:30,10h 00m,00:30,Moon Light Parking Katra
595,City Land Travels,929,1.5,40 Seats available,A/C Seater/Sleeper (2+1),19:00,09h 15m,04:15,Moon Light Parking Katra
596,City Land Travels,750,2.2,36 Seats available,A/C Seater/Sleeper (2+1),19:30,08h 30m,04:00,Subhash parking katra
597,City Land Travels,520,4.7,18 Seats available,A/C Seater/Sleeper (2+1),17:00,08h 30m,01:30,Katra
598,City Land Travels,838,4.5,47 Seats available,A/C Seater/Sleeper (2+1),20:30,08h 15m,04:45,Subhash Parking Katra
599,Shiv Mohan Travels,1637,4.4,30 Seats available,AC Sleeper (2+1),19:00,09h 15m,04:15,Katra
600,Gola Bus Service,INR 3499,3.0,6 Seats available,VE A/C Seater (2+2),18:40,09h 10m,03:50,Katra
601,Laxmi holidays,641,4.2,52 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),18:00,09h 15m,03:15,Moon Light Parking Area
602,KN Nehra Travels,INR 999,2.5,17 Seats available,A/C Seater/Sleeper (2+1),18:45,09h 20m,04:05,Katra ( Moon Light Parking)
603,BSS COOL COOL TRAVELS,INR 799,2.3,36 Seats available,A/C Seater / Sleeper (2+2),16:00,10h 45m,02:45,KATRA
604,Ashok Travels,INR 759,3.7,42 Seats available,A/C Seater / Sleeper (2+2),16:00,08h 00m,00:00,Katra new bus stand parking
605,Shub Yatra Holidays,INR 1199,3.7,34 Seats available,A/C Sleeper (2+2),19:00,10h 15m,05:15,Hotel geeta lodge parking
606,SPEED BUS,3400,1.8,34 Seats available,A/C Volvo B11R Multi-Axle Sleeper (2+1),20:00,09h 15m,05:15,Hotel geeta lodge parking
607,Shivay Holidays,INR 990,1.8,25 Seats available,A/C Seater / Sleeper (2+2),21:00,06h 45m,03:45,New Bus Stand Katra
608,Amit Travels,INR 999,1.4,25 Seats available,A/C Seater / Sleeper (2+1),18:30,09h 10m,03:40,New Bus Stand Katra
609,Amit Travels,INR 999,1.4,36 Seats available,A/C Seater / Sleeper (2+1),18:30,09h 20m,03:50,Geeta Lodge parking Railway R...
610,RAO SAHAB TRAVELS PRIVATE LIMITED,INR 1099,3.6,50 Seats available,A/C Seater / Sleeper (2+1),22:25,08h 35m,07:00,Dolphin hotel railway road katra
611,RAO SAHAB TRAVELS PRIVATE LIMITED,INR 1099,3.6,24 Seats available,A/C Seater / Sleeper (2+1),22:25,09h 15m,07:40,Subash parking jammu road kat...
612,New Pal Travels,990,3.2,33 Seats available,A/C Sleeper (2+2),18:00,10h 00m,04:00,Katra
613,Travel Point,1085,2.7,32 Seats available,A/C Seater / Sleeper (2+2),17:15,09h 00m,02:15,Moon Light Parking
614,Jamna Travels (Delhi),INR 699,2.6,28 Seats available,A/C Seater / Sleeper (2+2),16:30,08h 00m,00:30,Moon Light Parking
615,Northern Travels,INR 1549,2.6,36 Seats available,Bharat Benz A/C Sleeper (2+1),22:30,08h 30m,07:00,Rtc bus stand
616,Big Bus,INR 1299,,36 Seats available,A/C Seater / Sleeper (2+2),20:30,09h 00m,05:30,New bus stand katra
617,Big Bus,INR 1299,,,A/C Seater / Sleeper (2+2),16:00,09h 00m,01:00,
618,Moon Light Travels Katra,899,,,A/C Sleeper (2+1),19:30,10h 30m,06:00,
619,Vijay Tour and Travels,INR 699,,,A/C Seater / Sleeper (2+1),20:40,09h 10m,05:50,
620,Chandigarh Transport Undertaking (CTU) - 165784,INR 406.67,3.8,18 Seats available,HVAC Seater (2+3),13:30,06h 05m,19:35,Jawala Ji Near Bus Stand
621,Laxmi holidays,949,4.7,14 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),20:05,04h 55m,01:00,Jawala Ji
622,Ram Dalal Holidays,759,5.0,27 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),21:30,04h 00m,01:30,Jawala Ji
623,Raghukul Holidays,719,4.6,15 Seats available,Volvo A/C Semi Sleeper (2+2),21:00,03h 50m,00:50,Jawala Ji
624,Bedi Travels,747,4.5,22 Seats available,Volvo 9600 A/C Semi Sleeper (2+2),21:15,04h 30m,01:45,Jawala Ji
625,New Himalaya Travels,INR 700,2.7,19 Seats available,Volvo A/C Semi Sleeper (2+2),21:05,04h 10m,01:15,Jawala JI
626,Northern Travels,INR 989,3.7,34 Seats available,Volvo A/C Semi Sleeper (2+2),20:45,04h 15m,01:00,Jawala Ji
627,Bharmani Travels,899,,,Volvo A/C Semi Sleeper (2+2),22:00,04h 10m,02:10,
628,Zimindara Travels,INR 949,4.1,20 Seats available,AC Sleeper (2+1),16:00,06h 30m,22:30,City Land Travels Waiting Lou...
629,Laxmi holidays,960,4.6,32 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),16:00,06h 50m,22:50,Dehradun
630,City Land Travels,938,3.6,32 Seats available,A/C Seater/Sleeper (2+1),16:15,07h 00m,23:15,Dehradun
631,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),INR 999,4.0,26 Seats available,VE A/C Seater / Sleeper (2+1),17:00,06h 30m,23:30,City Land Travels Waiting Lou...
632,City Land Travels,938,3.6,34 Seats available,Bharat Benz (2+2),17:15,06h 15m,23:30,Shri ganesh yatra sangh
633,New Pal Travels,900,3.6,34 Seats available,A/C Sleeper (2+2),17:30,06h 20m,23:50,Shri ganesh yatra sangh
634,NueGo,382,4.5,30 Seats available,Electric A/C Seater (2+2),18:00,04h 05m,22:05,Brahman Wala Chowk
635,NueGo,382,3.7,17 Seats available,Electric A/C Seater (2+2),18:00,04h 55m,22:55,Transport Nagar
636,City Land Travels,1550,3.6,,Volvo A/C Semi Sleeper (2+2),18:15,07h 00m,01:15,
637,KN Nehra Travels,INR 1299,3.0,,A/C Seater/Sleeper (2+1),18:20,06h 55m,01:15,
638,KN Nehra Travels,INR 1299,3.0,,A/C Seater/Sleeper (2+1),18:20,07h 10m,01:30,
639,Laxmi holidays,1044,4.9,,VE A/C Semi Sleeper (2+2),18:30,05h 20m,23:50,
640,City Land Travels,789,4.4,,A/C Seater/Sleeper (2+1),18:30,05h 50m,00:20,
641,Vijay Tour and Travels,INR 799,2.1,,Bharat Benz A/C Seater /Sleeper (2+1),15:10,07h 00m,22:10,
642,Amit Travels,INR 999,1.8,,A/C Seater / Sleeper (2+1),18:20,06h 55m,01:15,
643,Amit Travels,INR 999,1.8,,A/C Seater / Sleeper (2+1),18:20,07h 10m,01:30,
644,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),INR 1199,2.9,,A/C Sleeper (2+1),21:00,04h 50m,01:50,
645,Gola Bus Service,INR 1999,4.5,,VE A/C Seater / Sleeper (2+1),10:20,13h 45m,00:05,
646,City Land Travels,598,4.4,,Volvo A/C Semi Sleeper (2+2),15:00,04h 30m,19:30,
647,FlixBus,INR 294,3.3,,A/C Seater (2+2),11:30,04h 30m,16:00,
648,Zimindara Travels,INR 899,4.1,14 Seats available,AC Sleeper (2+1),23:00,03h 15m,02:15,Karan Filling Station Indian ...
649,City Land Travels,838,3.6,31 Seats available,Bharat Benz (2+2),23:59,03h 01m,03:00,Sector 42 IndianOil Petrol Pump
650,Shree Mahaveer Travels Jaipur,INR 799,3.4,17 Seats available,A/C Seater/Sleeper (2+1),22:00,02h 35m,00:35,Sector 52
651,RSRTC - 192348,INR 432,3.8,10 Seats available,Super Luxury Volvo AC Seater Pushback 2+2,16:30,04h 45m,21:15,Shimla
652,Laxmi holidays,416,4.6,37 Seats available,Volvo A/C Semi Sleeper (2+2),10:30,03h 20m,13:50,Shimla (bypass MC car parking)
653,Laxmi holidays,664,4.9,33 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,03h 05m,23:35,Shimla New Bus Stand
654,Zingbus Plus,INR 267,4.4,19 Seats available,Volvo A/C Semi Sleeper (2+2),20:30,03h 15m,23:45,Shimla By-Pass Crossing
655,Laxmi holidays,INR 319,4.6,24 Seats available,Bharat Benz A/C Semi Sleeper (2+2),09:30,02h 45m,12:15,Shimla New Bus Stand
656,Ram Dalal Holidays,490,4.7,33 Seats available,Volvo A/C Semi Sleeper (2+2),22:00,03h 00m,01:00,Shimla New Bus Stand
657,FlixBus,INR 294,4.1,24 Seats available,A/C Seater (2+2),11:00,03h 55m,14:55,Shimla New Bus Stand
658,FlixBus,INR 294,4.7,41 Seats available,A/C Seater (2+2),20:00,04h 10m,00:10,Shimla New Bus Stand
659,NueGo,379,3.4,41 Seats available,Electric A/C Seater (2+2),13:00,03h 05m,16:05,Shimla New Bus Stand
660,Laxmi holidays,664,3.5,,Scania Multi-Axle AC Semi Sleeper (2+2),20:30,02h 30m,23:00,
661,Laxmi holidays,INR 319,4.6,,Bharat Benz A/C Semi Sleeper (2+2),09:30,03h 10m,12:40,
662,City Land Travels,690,4.1,,Volvo A/C Semi Sleeper (2+2),22:00,03h 00m,01:00,
663,Bedi Travels,684,4.1,,Volvo A/C Semi Sleeper (2+2 ),21:30,03h 25m,00:55,
664,NueGo,379,4.0,,Electric A/C Seater (2+2),13:00,02h 55m,15:55,
665,NueGo,389,3.8,,Electric A/C Seater (2+2),21:00,02h 45m,23:45,
666,NueGo,310,3.8,,Electric A/C Seater (2+2),21:00,02h 55m,23:55,
667,City Land Travels,700,3.6,,Volvo A/C Semi Sleeper (2+2),23:00,03h 35m,02:35,
668,City Land Travels,690,3.8,,Volvo A/C Semi Sleeper (2+2),22:00,02h 50m,00:50,
669,City Land Travels,700,3.1,,Volvo A/C Semi Sleeper (2+2),23:00,03h 05m,02:05,
670,City Land Travels,529,2.9,,Volvo A/C Semi Sleeper (2+2),10:30,02h 55m,13:25,
671,City Land Travels,529,3.8,,Volvo A/C Semi Sleeper (2+2),10:30,03h 30m,14:00,
672,City Land Travels,700,,,Volvo A/C Semi Sleeper (2+2),22:30,02h 50m,01:20,
