,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
416,Shyamoli Paribahan Pvt Ltd,INR 400,4.2,10 Seats available,Volvo A/C Seater (2+2),13:45,04h 30m,18:15,New Digha
417,Shyamoli Paribahan Pvt Ltd,INR 400,4.2,20 Seats available,Volvo A/C Seater (2+2),13:15,04h 30m,17:45,New Digha
418,Shyamoli Paribahan Pvt Ltd,INR 400,4.1,26 Seats available,Volvo A/C Seater (2+2),09:50,04h 50m,14:40,Digha
419,Shyamoli Paribahan Pvt Ltd,INR 400,4.1,16 Seats available,Volvo B11R Multi Axle Seater (2+2),13:30,04h 30m,18:00,Bus Stand
420,Mayuri Express,333,4.2,46 Seats available,AC Seater (2+2),10:30,05h 00m,15:30,Digha
421,Greenline,INR 400,4.1,21 Seats available,Volvo A/C Seater (2+2),13:30,04h 45m,18:15,Bus Stand
422,Shyamoli Paribahan Pvt Ltd,INR 400,3.5,45 Seats available,VE A/C Seater (2+2),10:30,04h 30m,15:00,Bus Stand
423,Rubi Paribahan  ,INR 399,4.3,68 Seats available,Volvo 9600 A/C Seater/Sleeper (2+1),12:50,05h 00m,17:50,Old Digha Contact-
424,Samanta Travels,285,3.7,25 Seats available,A/C Seater (2+3),14:30,04h 50m,19:20,Bus Stand
425,Monikanchan Bus Service,356,4.1,5 Seats available,A/C Seater (2+3),13:30,04h 15m,17:45,Digha Bus Stand
426,Snemita Parisheba(SANTOSH),399,3.4,10 Seats available,A/C Seater / Sleeper (2+2),12:05,04h 35m,16:40,Digha
427,Snemita Parisheba(SNEHA GOLD),352,3.6,,AC Seater (2+3),16:40,04h 30m,21:10,
428,Snemita Pariseba(Samanta),257,3.1,,A/C Seater Push Back (2+3),14:45,04h 35m,19:20,
429,Snemita Paribahan(Shinjini),INR 370,3.3,,A/C Seater (2+3),22:45,05h 25m,04:10,
430,Mayuri Express,278,4.5,,A/C Seater (2+3),11:15,04h 45m,16:00,
431,Ankita Paribahan(Atithi),342,3.6,,A/C Seater Push Back (2+3),12:15,04h 30m,16:45,
432,Maa Chandi Travels,370,3.7,,A/C Seater / Sleeper (2+2),14:30,04h 40m,19:10,
433,Snemita Parisheba(Santosh),352,4.0,,A/C Seater Push Back (2+3),23:30,05h 00m,04:30,
434,Snemita Paribahan,INR 370,3.3,,AC Seater (2+3),11:10,04h 25m,15:35,
435,City Express (Shinjini),INR 370,3.7,,AC Seater (2+3),22:45,05h 25m,04:10,
436,Snemita Paribahan,INR 230,3.7,,Non AC Seater (2+3),10:30,04h 30m,15:00,
437,Maa Chandi Travels,370,3.8,,A/C Seater / Sleeper (2+2),16:30,05h 00m,21:30,
438,Snemita Paribahan,INR 370,4.0,,AC Seater (2+3),12:15,04h 25m,16:40,
439,Royal Cruiser,INR 499,3.5,,Volvo A/C Seater (2+2),13:00,04h 30m,17:30,
440,Santosh Bus Service,315,4.0,,A/C Seater Push Back (2+3),11:25,04h 15m,15:40,
441,Haimanti Bus Service,INR 270,4.1,,AC Seater (2+3),09:50,05h 25m,15:15,
442,Ankita Paribahan (Maity Motor),342,3.2,,A/C Seater Push Back (2+3),13:05,04h 25m,17:30,
443,Bengal Surface Transport,INR 319,3.4,,A/C Seater / Sleeper (2+2),10:55,05h 00m,15:55,
444,Parameswar Travels,285,2.8,,A/C Seater Push Back (2+3),09:30,04h 45m,14:15,
445,City Express (Angel),INR 370,4.3,,AC Seater (2+3),13:50,04h 40m,18:30,
446,Snemita Paribahan,INR 370,3.0,,AC Seater (2+3),11:35,04h 50m,16:25,
