,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
277,PEPSU (Punjab) - 67104,INR 440,2.9,,AC Seater Hvac 2+2,22:30,05h 01m,03:31,
278,PEPSU (Punjab) - 67142,INR 807,3.6,44 Seats available,Volvo AC Seater (2+2),16:00,06h 40m,22:40,Pick by shared cab from patia...
279,Indo Canadian Transport Pvt. Ltd.,INR 3000,4.0,31 Seats available,A/C Semi Sleeper (2+2),18:30,06h 30m,01:00,Pick by shared cab from patia...
280,Indo Canadian Transport Pvt. Ltd.,INR 2500,4.0,45 Seats available,A/C Semi Sleeper (2+2),14:40,08h 30m,23:10,Pick by shared cab from patia...
281,Indo Canadian Transport Pvt. Ltd.,INR 3850,4.0,42 Seats available,A/C Sleeper (2+1),22:30,06h 30m,05:00,Pick by shared cab from patia...
282,Indo Canadian Transport Pvt. Ltd.,INR 3300,4.0,41 Seats available,A/C Semi Sleeper (2+2),20:30,08h 30m,05:00,Pick by shared cab from patia...
283,Indo Canadian Transport Pvt. Ltd.,INR 3000,4.0,42 Seats available,A/C Sleeper (2+1),16:40,08h 30m,01:10,Pick by shared cab from patia...
284,Indo Canadian Transport Pvt. Ltd.,INR 3300,4.0,44 Seats available,A/C Sleeper (2+1),16:00,09h 00m,01:00,Pick by shared cab from patia...
285,Indo Canadian Transport Pvt. Ltd.,INR 3300,4.0,51 Seats available,A/C Semi Sleeper (2+2),14:30,08h 30m,23:00,Pick by shared cab from patia...
286,Indo Canadian Transport Pvt. Ltd.,INR 3850,4.0,28 Seats available,A/C Sleeper (2+1),16:30,08h 30m,01:00,Pick by shared cab from patia...
287,Indo Canadian Transport Pvt. Ltd.,INR 2500,4.0,44 Seats available,A/C Semi Sleeper (2+2),16:00,07h 00m,23:00,Pick by shared cab from patia...
288,Indo Canadian Transport Pvt. Ltd.,INR 2500,4.0,,A/C Semi Sleeper (2+2),18:00,07h 00m,01:00,
