,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
359,Kadamba Transport Corporation Limited (KTCL) - 60996,INR 850,2.9,28 Seats available,Non AC Seater 2+2,19:00,13h 30m,08:30,Vasco
360,IntrCity SmartBus,INR 1124,3.4,24 Seats available,AC Sleeper (2+1),17:30,11h 15m,04:45,Panjim
361,Humsafar Travels,INR 1650,3.8,20 Seats available,A/C Sleeper (2+1),19:00,09h 30m,04:30,Mapusa
362,IntrCity SmartBus,INR 1124,4.3,27 Seats available,AC Sleeper (2+1),16:30,11h 30m,04:00,Mapusa
363,S R Travels,INR 800,3.0,37 Seats available,A/C Seater/Sleeper (2+1),20:30,11h 00m,07:30,Panjim
364,IntrCity SmartBus,INR 1124,4.0,28 Seats available,AC Sleeper (2+1),15:30,11h 30m,03:00,Mapusa
365,Sharma Travels,INR 1619,3.8,23 Seats available,AC Sleeper (2+1),15:00,11h 00m,02:00,Panjim
366,Om Sri Tours and Travels,1849,2.4,24 Seats available,Volvo Multi-Axle A/C Sleeper (2+1),20:00,09h 00m,05:00,Mapusa
367,Konkan Tours & Travels,INR 3000,3.5,32 Seats available,NON A/C Sleeper (2+1),17:00,12h 20m,05:20,Panjim
368,Kadamba Transport Corporation Limited (KTCL) - 6020,INR 140,3.7,,Non AC Seater 2+2,16:00,02h 45m,18:45,
369,Kadamba Transport Corporation Limited (KTCL) - 99708,INR 150,4.1,,AC Seater (2+2),07:30,01h 00m,08:30,
370,Kadamba Transport Corporation Limited (KTCL) - 151354,INR 150,4.1,,Volvo AC Seater 2+2,08:00,01h 00m,09:00,
371,Kadamba Transport Corporation Limited (KTCL) - 99707,INR 150,4.1,,AC Seater (2+2),13:45,01h 00m,14:45,
372,Kadamba Transport Corporation Limited (KTCL) - 99710,INR 150,4.1,,AC Seater (2+2),16:00,01h 00m,17:00,
373,Kadamba Transport Corporation Limited (KTCL) - 6028,INR 140,4.9,,Non AC Seater 2+2,08:00,02h 30m,10:30,
374,Kadamba Transport Corporation Limited (KTCL) - 141293,INR 900,3.9,3 Seats available,Volvo AC Seater 2+2,19:45,12h 30m,08:15,Majestic
375,Intercity travels,INR 1999,4.6,9 Seats available,Bharat Benz A/C Sleeper (2+1),21:00,13h 15m,10:15,Anand Rao Circle
376,Sunrise Tours and Travels,INR 1999,4.6,8 Seats available,A/C Sleeper (2+1),21:20,12h 10m,09:20,Anand Rao Circle
377,Shanta Travels,INR 1310,4.4,15 Seats available,NON A/C Sleeper (2+1),19:30,12h 15m,07:45,Yeshwantpur
378,Streamline tours and travels,INR 1899,4.3,20 Seats available,A/C Sleeper (2+1),21:15,12h 00m,09:15,Anand Rao Circle
379,IntrCity SmartBus,INR 1619,4.4,24 Seats available,AC Sleeper (2+1),20:30,13h 10m,09:40,Anand Rao Circle
380,VKV Travels,1540,4.2,14 Seats available,A/C Sleeper (2+1),22:55,11h 15m,10:00,Yeshwantpur
381,Streamline tours and travels,INR 1899,4.1,22 Seats available,A/C Sleeper (2+1),22:20,12h 00m,10:20,Anand Rao Circle
382,Intercity travels,1899,4.3,14 Seats available,Bharat Benz A/C Sleeper (2+1),22:05,12h 45m,10:50,Anand Rao Circle
383,Sea Bird Tourist,INR 800,3.4,33 Seats available,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,13h 00m,12:30,Anand Rao Circle
384,Sea Bird Tourist,INR 800,3.3,23 Seats available,NON A/C Sleeper (2+1),18:00,13h 00m,07:00,Anand Rao Circle
385,Sugama Tourist,INR 950,3.8,12 Seats available,NON A/C Sleeper (2+1),20:30,11h 15m,07:45,Anand Rao Circle
386,IntrCity SmartBus,INR 1552,3.8,23 Seats available,AC Sleeper (2+1),21:30,13h 30m,11:00,Anand Rao Circle
387,Sea Bird Tourist,INR 800,3.6,24 Seats available,NON A/C Sleeper (2+1),20:30,13h 30m,10:00,Anand Rao Circle
388,Anand Travels,INR 810,2.6,18 Seats available,NON A/C Sleeper (2+1),18:30,11h 30m,05:30,Anand Rao Circle
389,Orange Tours And Travels,INR 1200,2.6,27 Seats available,A/C Sleeper (2+1),19:50,12h 40m,08:30,Anand Rao Circle
390,Sea Bird Tourist,INR 1000,2.9,22 Seats available,A/C Sleeper (2+1),19:00,13h 00m,08:00,Anand Rao Circle
391,SRS Travels,INR 950,2.3,26 Seats available,NON AC Seater / Sleeper 2+1,20:00,13h 30m,09:30,Anand Rao Circle
392,Sea Bird Tourist,INR 1000,2.3,21 Seats available,A/C Sleeper (2+1),21:15,13h 00m,10:15,Anand Rao Circle
393,Suprith Holidays,INR 1599,3.8,25 Seats available,A/C Sleeper (2+1),21:50,11h 40m,09:30,Yeshwantpur
394,SRS Travels,INR 950,2.5,26 Seats available,NON AC Seater / Sleeper 2+1,20:00,12h 30m,08:30,Anand Rao Circle
395,Sugama Tourist,INR 950,3.7,12 Seats available,NON A/C Sleeper (2+1),20:30,12h 15m,08:45,Anand Rao Circle
396,SPR Tours And Travels,INR 850,3.3,22 Seats available,NON A/C Sleeper (1+2),19:55,13h 05m,09:00,Yeshwantpur
397,Sugama Tourist,INR 950,3.8,12 Seats available,NON A/C Sleeper (2+1),20:30,11h 45m,08:15,Anand Rao Circle
398,Bharathi Travels,INR 2399,2.8,23 Seats available,A/C Sleeper (2+1),23:15,12h 30m,11:30,Anand Rao Circle
399,Kukkeshree Travels,INR 1699,3.1,18 Seats available,A/C Sleeper (2+1),21:15,12h 00m,09:15,Anand Rao Circle
400,SPR Tours And Travels,INR 850,3.4,24 Seats available,NON A/C Sleeper (1+2),19:00,13h 30m,08:30,Paulo Travels Office Race cou...
401,Kukkeshree Travels,INR 1699,3.2,22 Seats available,A/C Sleeper (2+1),22:15,12h 00m,10:15,Anand Rao Circle
402,Sea Bird Tourist,INR 800,2.4,30 Seats available,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),22:30,13h 00m,11:30,Anand Rao Circle
403,Sea Bird Tourist,INR 1000,3.1,18 Seats available,A/C Sleeper (2+1),22:15,13h 00m,11:15,Anand Rao Circle
404,DA Transports,INR 5000,3.6,36 Seats available,A/C Sleeper (2+1),16:00,12h 00m,04:00,Nayanadahalli
405,Suprith Holidays,INR 3000,3.5,22 Seats available,A/C Sleeper (2+1),21:10,12h 40m,09:20,Anand Rao Circle
406,VRL Travels,INR 1000,3.6,13 Seats available,A/C Seater / Sleeper (2+1),19:30,13h 00m,09:15,Anand Rao Circle
407,Kadamba Transport Corporation Limited (KTCL) - 8355,INR 450,3.7,38 Seats available,Non AC Seater 2+2,15:00,10h 03m,01:03,Panjim
408,Sea Bird Tourist,INR 700,4.8,27 Seats available,NON A/C Sleeper (2+1),17:30,09h 00m,02:30,Panjim
409,Kadamba Transport Corporation Limited (KTCL) - 60996,INR 675,3.3,32 Seats available,Non AC Seater 2+2,19:00,11h 05m,06:05,Vasco
410,Humsafar Travels,INR 1350,4.0,26 Seats available,A/C Sleeper (2+1),19:00,07h 00m,02:00,Mapusa
411,Om Sri Tours and Travels,1849,3.2,24 Seats available,Volvo Multi-Axle A/C Sleeper (2+1),20:00,08h 00m,04:00,Mapusa
412,Konkan Tours & Travels,INR 3000,3.5,32 Seats available,NON A/C Sleeper (2+1),17:00,10h 10m,03:10,Panjim
413,PSR Travels Goa,INR 1299,4.1,15 Seats available,A/C Sleeper (2+1),19:15,14h 45m,10:00,Porvorim
414,Humsafar Travels,INR 1350,2.3,20 Seats available,A/C Sleeper (2+1),19:00,16h 00m,11:00,Mapusa
415,Hans Travels (I) Private Limited,INR 1400,1.8,18 Seats available,A/C Sleeper (2+1),12:30,15h 45m,04:15,Panjim
416,Kadamba Transport Corporation Limited (KTCL) - 60996,INR 420,3.6,28 Seats available,Non AC Seater 2+2,19:00,07h 30m,02:30,Vasco
417,Neeta tours and travels,INR 499,3.1,17 Seats available,AC Sleeper (2+1),12:30,06h 30m,19:00,Verna
418,Vaibhav Travels,INR 300,4.4,18 Seats available,A/C Sleeper (2+1),16:00,07h 00m,23:00,Madgaon
419,Vaibhav Travels,INR 600,3.6,28 Seats available,A/C Sleeper (2+1),20:00,10h 12m,06:12,Mapusa
420,Neeta tours and travels,INR 499,3.6,45 Seats available,AC Sleeper (2+1),10:30,06h 30m,17:00,Madgaon
421,Atmaram Travels ( Dolphin ),INR 660,4.4,29 Seats available,A/C Sleeper (2+1),14:00,06h 30m,20:30,Madgaon
422,IntrCity SmartBus,INR 550,4.5,25 Seats available,AC Sleeper (2+1),15:30,06h 15m,21:45,Panjim
423,Atmaram Travels ( Dolphin ),INR 750,3.3,17 Seats available,A/C Sleeper (2+1),15:30,06h 15m,21:45,Madgaon
424,Atmaram Travels ( Dolphin ),INR 750,3.2,40 Seats available,A/C Sleeper (2+1),16:30,06h 30m,23:00,Panjim
425,IntrCity SmartBus,INR 1124,4.7,27 Seats available,AC Sleeper (2+1),16:30,06h 00m,22:30,Mapusa
426,Konkan Tours & Travels,INR 3000,3.5,28 Seats available,NON A/C Sleeper (2+1),17:00,06h 45m,23:45,Mapusa
427,Prasanna - Purple Bus,1098,3.9,40 Seats available,VE A/C Sleeper (2+1),17:00,07h 45m,00:45,Mapusa
428,Atmaram Travels ( Dolphin ),INR 660,3.8,30 Seats available,A/C Sleeper (2+1),17:30,06h 45m,00:15,Madgaon
