,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
471,R S YADAV SMART BUS PRIVATE LIMITED,INR 1099,4.3,42 Seats available,A/C Seater / Sleeper (2+1),21:40,03h 50m,01:30,Agra Bypass Rd Kuberpur Bypass
472,IntrCity SmartBus,INR 1397,4.2,27 Seats available,Bharat Benz A/C Sleeper (2+1),23:55,04h 05m,04:00,Agra toll plaza
473,R S YADAV SMART BUS PRIVATE LIMITED,INR 799,4.1,48 Seats available,A/C Seater / Sleeper (2+2),21:35,03h 50m,01:25,Agra toll plaza
474,Fouji travels,INR 699,4.1,47 Seats available,A/C Seater / Sleeper (2+1),22:35,04h 25m,03:00,Kuberpur flyover agra
475,Laxmi holidays,855,4.0,29 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),21:55,05h 05m,03:00,Agra Bypass Rd
476,BSS COOL COOL TRAVELS,INR 699,4.0,17 Seats available,A/C Seater / Sleeper (2+1),21:40,04h 10m,01:50,GHODA CHOWK PARTAPUR
477,Vaishali Expresso Pvt. Ltd.,760,4.0,39 Seats available,A/C Seater / Sleeper (2+2),21:15,04h 15m,01:30,GHODA CHOWK PARTAPUR
478,Vaishali Expresso Pvt. Ltd.,855,4.0,18 Seats available,A/C Seater / Sleeper (2+1),23:10,04h 00m,03:10,Kuberpur toll plaza agra
479,Raj Kalpana Travels Pvt.Ltd,INR 900,4.0,19 Seats available,A/C Seater/Sleeper (2+1),21:25,04h 35m,02:00,Bala ji bus servce
480,PJM TRAVELS,INR 645,3.8,26 Seats available,A/C Seater / Sleeper (2+2),22:00,05h 00m,03:00,Agra
481,Anshi Raj Shree Travels,INR 799,3.8,45 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),22:15,04h 45m,03:00,"Kuberpur cut, yamuna expressway"
482,Anshi Raj Shree Travels,INR 1199,3.8,19 Seats available,Bharat Benz A/C Sleeper (2+1),22:15,05h 15m,03:30,Agra By Pass Road (on Highway...
483,Anshi Raj Shree Travels,INR 999,3.8,32 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),23:30,05h 00m,04:30,"Pratappura choraha,agra"
484,Khajuraho Travels,INR 796,3.8,38 Seats available,AC Sleeper (2+1),23:32,04h 55m,04:27,Kuber pur toll plaza agra
485,Ashok Tour And Travels,INR 700,3.8,29 Seats available,A/C Seater / Sleeper (2+1),22:00,05h 00m,03:00,kuberpur flyover Near Toll P...
486,Khajuraho Travels,INR 946,3.6,45 Seats available,A/C Seater / Sleeper (2+1),23:57,04h 29m,04:26,kuberpur flyover Near Toll P...
487,E Bus India,1899,3.6,43 Seats available,A/C Seater/Sleeper (2+1),18:00,04h 00m,22:00,Kuber pur toll plaza agra
488,E Bus India,949,3.6,29 Seats available,A/C Seater/Sleeper (2+1),22:00,04h 30m,02:30,kuberpur flyover Near Toll P...
489,Shree Raj Akanshi travels,INR 799,3.6,33 Seats available,A/C Seater / Sleeper (2+1),20:20,05h 00m,01:20,Kuber pur toll plaza agra
490,SAFAR EXPRESS PVT LTD,INR 899,3.6,26 Seats available,A/C Seater / Sleeper (2+1),20:00,04h 45m,00:45,Agra kuberpur toll plaza
491,Krishna Travels,INR 699,3.6,36 Seats available,A/C Seater / Sleeper (2+2),22:30,04h 00m,02:30,Kuber pur toll plaza agra
492,SAFAR EXPRESS PVT LTD,INR 899,3.6,47 Seats available,A/C Seater / Sleeper (2+2),19:05,04h 30m,23:35,"Srinath travels,imperial hote..."
493,Krishna Travels,INR 649,3.6,40 Seats available,A/C Seater / Sleeper (2+2),23:30,05h 44m,05:14,IDGAH BUS STAND
494,SAFAR EXPRESS PVT LTD,INR 899,3.6,36 Seats available,A/C Seater / Sleeper (2+1),21:50,03h 30m,01:20,Agara
495,Krishna Travels,INR 799,3.3,50 Seats available,A/C Seater/Sleeper (2+1),21:25,05h 20m,02:45,Agra kuberpur Toll plaza
496,SAFAR EXPRESS PVT LTD,INR 899,3.5,26 Seats available,A/C Seater / Sleeper (2+1),22:20,04h 15m,02:35,Agra kuberpur Toll plaza
497,Shri Bawa Lal Tour and Travels,INR 1599,3.2,26 Seats available,A/C Seater / Sleeper (2+1),23:58,04h 31m,04:29,Agra Bypass Rd Kuberpur Bypass
498,SAFAR EXPRESS PVT LTD,INR 699,3.2,44 Seats available,A/C Seater / Sleeper (2+2),22:30,05h 30m,04:00,Kuberpur Toll Plaza
499,Goyal Travels,INR 750,3.2,60 Seats available,VE A/C Seater / Sleeper (2+1),22:55,04h 20m,03:15,Kuberpur Toll Plaza
500,Sethi Yatra Company,INR 799,4.5,63 Seats available,A/C Seater / Sleeper (2+1),21:00,05h 40m,02:40,Agra toll plaza
501,Tourist Point,INR 599,3.0,48 Seats available,A/C Seater / Sleeper (2+2),23:55,05h 35m,05:30,Agra toll plaza
502,Jamna Travels (Delhi),INR 699,3.0,48 Seats available,A/C Seater / Sleeper (2+2),21:20,04h 10m,01:30,Jangpura
503,Jamna Travels (Delhi),INR 749,4.1,44 Seats available,A/C Seater / Sleeper (2+2),23:30,04h 45m,04:15,Jangpura
504,Gola Bus Service,INR 2499,4.1,24 Seats available,VE A/C Seater / Sleeper (2+1),20:50,04h 25m,01:15,Bus stand Agara
505,Kashi Vishwanath Tours and Travels,INR 500,2.8,40 Seats available,A/C Seater / Sleeper (2+2),22:29,04h 31m,03:00,Sanjay travels (agra) akruti ...
506,Kashi Vishwanath Tours and Travels,INR 500,2.8,30 Seats available,A/C Seater / Sleeper (2+2),23:59,04h 31m,04:30,"Pratappura choraha,agra"
507,Vaishali Expresso Pvt. Ltd.,1425,2.8,34 Seats available,A/C Seater / Sleeper (2+2),22:15,04h 15m,02:30,Kuberpur tall plaza
508,Vaishali Expresso Pvt. Ltd.,1425,2.7,42 Seats available,A/C Seater / Sleeper (2+1),22:40,04h 40m,03:20,Agara
509,KST Travels,664,3.8,15 Seats available,A/C Seater / Sleeper (2+2),22:35,04h 00m,02:35,"Shilpa shrinath travels,namne..."
510,KST Travels,664,2.5,40 Seats available,A/C Seater / Sleeper (2+1),22:20,04h 00m,02:20,Kuberpur toll plaza (yamuna e...
511,Jain Shiv Shankar Travels,759,2.4,48 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),20:25,05h 00m,01:25,Kuber Pul Toll Plaza
512,Sanjay Travels,INR 900,2.4,36 Seats available,AC Sleeper (2+1),20:30,05h 00m,01:30,Kuber Pul Toll Plaza
513,Shree Raj Akanshi travels,INR 2299,2.4,13 Seats available,A/C Sleeper (2+1),23:00,05h 00m,04:00,Kuber Pul Toll Plaza
514,SN TRAVELS,1620,2.2,32 Seats available,A/C Seater / Sleeper (2+2),22:40,04h 10m,02:50,Kuber Pur Toll Tax
515,Varun Travels,INR 999,2.2,33 Seats available,A/C Sleeper (2+1),23:30,05h 30m,05:00,Kuber Pur Toll Tax
516,SHREE MARUTIKRUPA TRAVELS AND CARGO,665,2.2,31 Seats available,A/C Seater / Sleeper (2+1),19:30,06h 30m,02:00,Agara
517,Shri Siddhi Vinayak Travels,629,2.2,27 Seats available,A/C Seater / Sleeper (2+1),23:30,04h 30m,04:00,Kuber pur toll plaza agra
518,New India Travels,INR 1299,2.1,34 Seats available,A/C Seater / Sleeper (2+2),23:00,0-16h 00m,07:00,Hotel neelkanth near new agra...
519,New India Travels,INR 599,2.1,40 Seats available,A/C Seater/Sleeper (2+1),23:59,04h 06m,04:05,Namner Chauraha Near Eid gah ...
520,New India Travels,INR 899,1.9,25 Seats available,A/C Seater / Sleeper (2+2),23:40,06h 15m,05:55,Kuberpur Toll Plaza
521,New India Travels,INR 749,3.6,58 Seats available,A/C Seater / Sleeper (2+2),23:55,02h 05m,02:00,"Shrinath travels,imperial hot..."
522,ROYAL TRAVELS AND CARGO,INR 696,3.6,34 Seats available,A/C Seater / Sleeper (2+2),23:59,03h 01m,03:00,"Shrinath travels,imperial hot..."
523,ROYAL TRAVELS AND CARGO,INR 696,3.3,36 Seats available,A/C Seater / Sleeper (2+2),23:00,03h 00m,02:00,GHODA CHOWK PARTAPUR
524,Shakmbhari Travels,INR 694,3.3,34 Seats available,A/C Seater / Sleeper (2+1),22:45,05h 15m,04:00,GHODA CHOWK PARTAPUR
525,SAFAR EXPRESS PVT LTD,INR 1299,3.2,30 Seats available,A/C Seater / Sleeper (2+1),23:00,04h 45m,03:45,Ghoda Chowk Partapur Circle A...
526,Sanskar Travels,INR 3174.29,3.2,19 Seats available,A/C Seater / Sleeper (2+1),22:30,04h 30m,03:00,Bus stand Agara
527,GK Travels,INR 1799,3.2,36 Seats available,A/C Sleeper (2+1),22:45,06h 15m,05:00,Ghoda Chowk Partapur Circle A...
528,Kashi Vishwanath Tours and Travels,INR 500,2.9,36 Seats available,A/C Seater / Sleeper (2+2),22:30,03h 30m,02:00,Bus stand Agara
529,GODARA TRAVELS,INR 999,2.9,36 Seats available,A/C Seater / Sleeper (2+1),23:35,04h 20m,03:55,Maa Kaila Travels
530,Hans Travels (I) Private Limited,INR 500,2.9,40 Seats available,NON A/C Sleeper (2+1),18:45,05h 00m,23:45,Agara
