,Starting_names,Reaching_names,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point,Ratings_range,Bus_fare_range,Bus_category,AC_Type,Seat_Type,Starting_time_interval,Ending_time_interval,Route
2923,Hyderabad,Vijayawada,KVR Tours and Travels,940.0,4.0,32 Seats available,A/C Sleeper (2+1),20:30,05h 35m,02:05,Kukatpally,4 to 5,below 1000,AC Sleeper,A/C,Sleeper,20:00 - 21:00,02:00 - 03:00,Hyderabad to Vijayawada
2924,Hyderabad,Vijayawada,Tirumala Travels,647.0,4.0,26 Seats available,A/C Sleeper (2+1),22:05,06h 50m,04:55,Kukatpally,4 to 5,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2925,Hyderabad,Vijayawada,Jayanthi Travels,999.0,3.9,21 Seats available,A/C Sleeper (2+1),21:10,06h 20m,03:30,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,21:00 - 22:00,03:00 - 04:00,Hyderabad to Vijayawada
2926,Hyderabad,Vijayawada,Shree Manikanta Travels,888.0,3.9,23 Seats available,A/C Sleeper (2+1),15:50,07h 50m,23:40,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,15:00 - 16:00,23:00 - 00:00,Hyderabad to Vijayawada
2927,Hyderabad,Vijayawada,Jayanthi Travels,500.0,3.9,20 Seats available,NON A/C Hi-Tech Push Back (2+2),20:00,07h 15m,03:15,Kukatpally,3 to 4,others,AC Semi Sleeper,Non A/C,Push Back,20:00 - 21:00,03:00 - 04:00,Hyderabad to Vijayawada
2928,Hyderabad,Vijayawada,Jayanthi Travels,1110.0,3.9,14 Seats available,Non A/C Seater / Sleeper (2+1),21:15,05h 45m,03:00,Kukatpally,3 to 4,1000 to 3000,AC Sleeper,A/C,Sleeper,21:00 - 22:00,03:00 - 04:00,Hyderabad to Vijayawada
2929,Hyderabad,Vijayawada,Jayanthi Travels,449.0,3.9,26 Seats available,Non A/C Seater / Sleeper (2+1),21:10,07h 30m,04:40,Kukatpally,3 to 4,others,AC Sleeper,A/C,Sleeper,21:00 - 22:00,04:00 - 05:00,Hyderabad to Vijayawada
2930,Hyderabad,Vijayawada,Nani Svkdt Travels,696.0,3.9,26 Seats available,A/C Sleeper (2+1),22:58,05h 38m,04:30,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2931,Hyderabad,Vijayawada,Padma Travels,499.0,3.8,25 Seats available,Non A/C Seater / Sleeper (2+1),21:30,06h 30m,04:00,Kukatpally,3 to 4,others,AC Sleeper,A/C,Sleeper,21:00 - 22:00,04:00 - 05:00,Hyderabad to Vijayawada
2932,Hyderabad,Vijayawada,Kaveri Travels,500.0,3.8,19 Seats available,Non A/C Seater / Sleeper (2+1),22:25,06h 05m,04:30,Kukatpally,3 to 4,others,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2933,Hyderabad,Vijayawada,LVR Travels,450.0,3.8,28 Seats available,Non A/C Seater / Sleeper (2+1),22:13,06h 52m,05:05,Kukatpally,3 to 4,others,AC Sleeper,A/C,Sleeper,22:00 - 23:00,05:00 - 06:00,Hyderabad to Vijayawada
2934,Hyderabad,Vijayawada,Laharisa Tours and Travels,450.0,3.8,22 Seats available,Non A/C Seater / Sleeper (2+1),22:10,05h 50m,04:05,Kukatpally,3 to 4,others,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2935,Hyderabad,Vijayawada,Sri KVR Travels,510.0,3.7,26 Seats available,Non A/C Seater / Sleeper (2+1),20:42,06h 48m,03:30,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,20:00 - 21:00,03:00 - 04:00,Hyderabad to Vijayawada
2936,Hyderabad,Vijayawada,Dharani Tours and Travels,499.0,3.7,17 Seats available,NON A/C Seater / Sleeper (3+1),21:30,06h 50m,04:20,Kukatpally,3 to 4,others,AC Sleeper,Non A/C,Sleeper,21:00 - 22:00,04:00 - 05:00,Hyderabad to Vijayawada
2937,Hyderabad,Vijayawada,Sri Atluri Travels,500.0,3.7,30 Seats available,NON AC Seater / Sleeper 2+1,20:00,08h 20m,04:20,Kukatpally,3 to 4,others,Other,Non A/C,Sleeper,20:00 - 21:00,04:00 - 05:00,Hyderabad to Vijayawada
2938,Hyderabad,Vijayawada,Dharani Tours and Travels,560.0,3.7,16 Seats available,Non A/C Seater / Sleeper (2+1),21:30,06h 50m,04:20,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,21:00 - 22:00,04:00 - 05:00,Hyderabad to Vijayawada
2939,Hyderabad,Vijayawada,Sri KVR Travels,750.0,3.7,23 Seats available,A/C Seater / Sleeper (2+1),17:45,06h 55m,00:40,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,17:00 - 18:00,00:00 - 01:00,Hyderabad to Vijayawada
2940,Hyderabad,Vijayawada,Sri Atluri Travels,510.0,3.6,19 Seats available,Non A/C Seater / Sleeper (2+1),22:18,05h 32m,03:50,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,03:00 - 04:00,Hyderabad to Vijayawada
2941,Hyderabad,Vijayawada,Navayuga Travels,560.0,3.6,20 Seats available,A/C Seater / Sleeper (2+1),20:40,07h 50m,04:30,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,20:00 - 21:00,04:00 - 05:00,Hyderabad to Vijayawada
2942,Hyderabad,Vijayawada,SAMANVI CITICONNECT,819.0,4.6,27 Seats available,A/C Sleeper (2+1),22:25,05h 35m,04:05,Kukatpally,4 to 5,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2943,Hyderabad,Vijayawada,SAMANVI CITICONNECT,560.0,3.0,26 Seats available,NON AC Seater / Sleeper 2+1,22:25,05h 20m,03:45,Kukatpally,3 to 4,below 1000,Other,Non A/C,Sleeper,22:00 - 23:00,03:00 - 04:00,Hyderabad to Vijayawada
2944,Hyderabad,Vijayawada,Sri NVR Travels,649.0,3.5,26 Seats available,NON A/C Sleeper (2+1),22:45,05h 45m,04:30,Kukatpally,3 to 4,below 1000,AC Sleeper,Non A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2945,Hyderabad,Vijayawada,Vahini Travels,560.0,3.5,14 Seats available,Non A/C Seater / Sleeper (2+1),20:41,07h 49m,04:30,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,20:00 - 21:00,04:00 - 05:00,Hyderabad to Vijayawada
2946,Hyderabad,Vijayawada,Vahini Travels,560.0,3.5,40 Seats available,Non A/C Seater / Sleeper (2+1),22:37,06h 08m,04:45,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2947,Hyderabad,Vijayawada,SREE KARA TRAVELS,499.0,3.5,23 Seats available,Non A/C Seater / Sleeper (2+1),22:05,06h 10m,04:15,Kukatpally,3 to 4,others,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
2948,Hyderabad,Vijayawada,Kalyani Transport,499.0,3.4,22 Seats available,Non A/C Seater / Sleeper (2+1),20:45,05h 45m,02:30,Kukatpally,3 to 4,others,AC Sleeper,A/C,Sleeper,20:00 - 21:00,02:00 - 03:00,Hyderabad to Vijayawada
2949,Hyderabad,Vijayawada,Sai Virat Travels,844.0,3.4,11 Seats available,Volvo Multi-Axle A/C Sleeper (2+1),21:57,05h 28m,03:25,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,21:00 - 22:00,03:00 - 04:00,Hyderabad to Vijayawada
2950,Hyderabad,Vijayawada,CVR Travels,560.0,3.7,20 Seats available,Non A/C Seater / Sleeper (2+1),22:15,06h 00m,04:17,Kukatpally,3 to 4,below 1000,AC Sleeper,A/C,Sleeper,22:00 - 23:00,04:00 - 05:00,Hyderabad to Vijayawada
