,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
1010,Bluecity Bus,INR 950,3.8,,Bharat Benz A/C Sleeper (2+1),19:00,03h 15m,22:15,
1011,M R Travels,INR 950,3.8,,A/C Volvo B11R Multi-Axle Sleeper (2+1),19:30,03h 25m,22:55,
1012,M R Travels,INR 700,3.9,,A/C Sleeper (2+1),19:30,04h 00m,23:30,
1013,Jain travels regd,INR 530,3.8,,AC Sleeper (2+1),20:00,03h 00m,23:00,
1014,Chanakya Travels Agency,INR 750,3.4,,NON A/C Seater/ Sleeper (2+1),20:00,03h 55m,23:55,
1015,Pooja Paraswnath Travels,INR 600,3.8,,A/C Seater / Sleeper (2+1),21:00,02h 35m,23:35,
1016,Chanakya Travels Agency,INR 900,3.9,,AC Sleeper (2+1),21:30,03h 10m,00:40,
1017,Jain travels regd,INR 700,3.8,,A/C Sleeper (2+1),22:00,03h 40m,01:40,
1018,M R Travels,INR 700,4.5,,A/C Sleeper (2+1),22:00,02h 55m,00:55,
1019,Gajraj Travels,INR 700,4.5,,A/C Sleeper (2+1),22:00,03h 30m,01:30,
1020,Gajraj Travels,INR 650,3.5,,A/C Sleeper (2+1),22:00,04h 08m,02:08,
1021,Chouhan Tour and Travel,INR 650,3.5,,A/C Seater / Sleeper (2+2),22:26,03h 40m,02:06,
1022,Swagat Travels,INR 650,4.3,,AC Sleeper (2+1),22:42,02h 38m,01:20,
1023,Tiger Travels,INR 1000,3.3,,A/C Seater / Sleeper (2+1),23:15,03h 00m,02:15,
1024,Shre Ganesh Travels,INR 1000,2.4,,Bharat Benz A/C Seater /Sleeper (2+1),23:59,03h 46m,03:45,
1025,Mahadev Travels,INR 3000,2.4,,A/C Seater / Sleeper (2+1),07:10,03h 20m,10:30,
1026,Mahadev Travels,INR 3500,2.5,,A/C Seater / Sleeper (2+1),07:35,02h 40m,10:15,
1027,Jai Shankar Travels,INR 1600,2.2,,A/C Sleeper (2+1),13:00,04h 00m,17:00,
1028,Jai Shankar Travels,INR 1000,2.5,,Non A/C Seater / Sleeper (2+1),13:15,03h 30m,16:45,
1029,Jai Shankar Travels,INR 1200,2.9,,A/C Seater / Sleeper (2+1),13:30,04h 00m,17:30,
1030,Chandra Travels (Apex Chandra Pvt Ltd),INR 1800,2.9,,A/C Sleeper (2+1),13:45,03h 05m,16:50,
1031,Jai Shankar Travels,INR 1000,2.9,,NON A/C Seater / Sleeper (3+1),14:00,02h 15m,16:15,
1032,Kalpana Travels Pvt. Ltd.,INR 650,2.0,,A/C Seater / Sleeper (2+1),14:00,04h 00m,18:00,
1033,Salasar Vaishnav Travels,INR 1100,2.6,,NON AC Seater / Sleeper 2+1,14:05,04h 31m,18:36,
1034,Salasar Vaishnav Travels,INR 1100,2.6,,A/C Seater / Sleeper (2+1),14:30,04h 31m,19:01,
1035,Choudhary travels and cargo,INR 600,2.4,,A/C Seater / Sleeper (2+1),15:00,03h 00m,18:00,
1036,Om Travels,INR 600,2.9,,A/C Seater / Sleeper (2+1),15:00,04h 00m,19:00,
1037,Om Travels,INR 1200,2.9,,NON A/C Sleeper (2+1),16:00,03h 00m,19:00,
1038,Ashok Travels and Cargo,INR 800,2.6,,A/C Seater/Sleeper (2+1),19:30,04h 15m,23:45,
1039,Kalpana Travels Pvt. Ltd.,INR 600,2.9,,A/C Seater / Sleeper (2+1),20:30,03h 00m,23:30,
1040,Gajanand Travels,INR 587,,,A/C Seater / Sleeper (2+1),20:30,03h 00m,23:30,
1041,Kalpana Travels Pvt. Ltd.,INR 750,,,NON AC Seater / Sleeper 2+1,21:00,03h 15m,00:15,
1042,SHRI VISHWAKARMA TRAVELS (KETU),INR 700,,,A/C Sleeper (2+1),21:30,04h 30m,02:00,
1043,Maruti Travels Balotra,INR 619.05,,,A/C Seater / Sleeper (2+1),22:28,03h 34m,02:02,
1044,Gorsiya Travels,INR 550,,,Bharat Benz A/C Seater /Sleeper (2+1),23:40,03h 05m,02:45,
