,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
131,A1 Travels,INR 800,3.4,39 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),19:45,10h 00m,05:45,Kalasipalyam
132,A1 Travels,INR 850,3.1,26 Seats available,A/C Seater / Sleeper (2+1),21:45,09h 15m,07:00,Madiwala
133,Bharathi Travels,INR 890,2.8,26 Seats available,A/C Sleeper (2+1),03:00,07h 30m,10:30,Kalasipalyam
134,Sam Tourist,INR 799,2.9,35 Seats available,NON AC Seater / Sleeper 2+1,22:05,09h 00m,07:05,Chandapura
135,Suraj Holidays,INR 750,3.5,28 Seats available,Non A/C Seater / Sleeper (2+1),21:30,08h 15m,05:45,Kalasipalyam
136,RAVINA TRAVELS,899,3.0,36 Seats available,A/C Sleeper (2+1),02:45,08h 15m,11:00,Chandapura
137,NS Transports,INR 899,4.3,44 Seats available,NON A/C Sleeper (2+1),23:00,09h 00m,08:00,Electronic City
138,Maaruti Travels,INR 1099,3.0,46 Seats available,NON A/C Semi Sleeper / Sleeper (2+1),19:00,10h 15m,05:15,Electronic City
139,Sam Tourist,INR 1699,2.8,21 Seats available,A/C Sleeper (2+1),20:00,08h 30m,04:30,Madiwala
140,Vijay Lines,INR 5000,1.9,28 Seats available,NON A/C Sleeper (2+1),20:45,10h 45m,07:30,Madiwala
141,Kingfisher Connect,INR 900,2.4,23 Seats available,Non A/C Seater / Sleeper (2+1),21:00,10h 15m,07:15,Madiwala
142,Jai Vishnu Travels,INR 1500,,28 Seats available,NON A/C Seater/ Sleeper (2+1),22:00,10h 15m,08:15,Madiwala
143,Kallada Travels (Suresh Kallada),INR 1600,,,A/C Sleeper (2+1),20:00,04h 20m,00:20,
144,Kallada Travels (Suresh Kallada),INR 800,,,NON A/C Semi Sleeper / Sleeper (2+1),21:30,09h 15m,06:45,
145,MMK Travels,INR 850,,,A/C Sleeper (2+1),22:00,08h 30m,06:30,
146,Kallada Travels (Suresh Kallada),INR 1600,,,A/C Sleeper (2+1),19:30,07h 55m,03:25,
147,Madhavi Travels,INR 599,4.1,35 Seats available,A/C Semi Sleeper (2+2),00:15,03h 45m,04:00,Kozhikode
148,Madhavi Travels,INR 799,4.1,26 Seats available,A/C Sleeper (2+1),00:25,03h 20m,03:45,Calicut P KABEER TRAVELS MM...
149,Ubc travels,INR 700,3.9,25 Seats available,A/C Semi Sleeper (2+2),00:25,02h 35m,03:00,M.M Ali Road Calicut
150,Madhavi Travels,INR 899,4.1,24 Seats available,A/C Sleeper (2+1),01:00,02h 50m,03:50,Kallada Tours & Travels M M A...
151,Kallada Travels (Suresh Kallada),INR 1000,3.2,33 Seats available,A/C Sleeper (2+1),01:00,02h 30m,03:30,M.M Ali Road Calicut
152,Adrin Travels,INR 850,4.0,29 Seats available,A/C Seater/Sleeper (2+1),01:20,03h 00m,04:20,Calicut
153,Ubc travels,INR 900,3.9,15 Seats available,A/C Seater/Sleeper (2+1),01:45,02h 00m,03:45,M.M Ali Road Calicut
154,EMERALD TRAVELS,INR 762,3.1,31 Seats available,Bharat Benz A/C Semi Sleeper (2+2),21:55,02h 35m,00:30,Calicut
155,BLM Transports,903,3.9,41 Seats available,A/C Sleeper (2+1),22:00,03h 00m,01:00,Calicut
156,Madhavi Travels,INR 999,4.1,16 Seats available,A/C Sleeper (2+1),22:20,02h 50m,01:10,Calicut
157,Kallada Travels (Suresh Kallada),INR 850,3.2,19 Seats available,A/C Sleeper (2+1),23:15,02h 25m,01:40,Kozhikode
158,Madhavi Travels,INR 899,4.1,35 Seats available,Volvo A/C Semi Sleeper (2+2),23:30,01h 40m,01:10,Calicut
159,A1 Travels,INR 1200,3.8,26 Seats available,Bharat Benz A/C Sleeper (2+1),23:30,02h 00m,01:30,MM Ali Road
160,Madhavi Travels,INR 699,4.1,49 Seats available,A/C Semi Sleeper (2+2),23:30,01h 40m,01:10,Calicut
161,Surya Connect,INR 630,4.3,34 Seats available,Volvo A/C Semi Sleeper (2+2),23:55,03h 40m,03:35,MM Ali road
162,Cochin Express,INR 600,4.0,36 Seats available,A/C Seater Push Back (2+2),23:55,03h 40m,03:35,MM Ali Road
163,Cochin Express,INR 850,4.0,38 Seats available,A/C Sleeper (2+1),23:59,03h 31m,03:30,Palayam
164,Arya Travels,INR 849,3.1,27 Seats available,A/C Sleeper (2+1),23:59,03h 16m,03:15,
165,Cochin Express,INR 700,4.0,39 Seats available,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:59,03h 31m,03:30,
166,Kalpaka Travels 1,INR 800,4.0,,A/C Sleeper (2+1),23:59,03h 46m,03:45,
167,Cochin Express,INR 666,4.0,,Bharat Benz A/C Seater (2+2),23:59,04h 01m,04:00,
168,Arya Travels,INR 645,3.1,,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:59,03h 46m,03:45,
169,Kalpaka Travels 1,INR 600,4.0,,A/C Semi Sleeper (2+2),23:59,03h 41m,03:40,
170,UFO Bus,612,4.0,,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),00:05,03h 25m,03:30,
171,UFO Bus,599,4.0,,A/C Seater Push Back (2+2),00:20,03h 10m,03:30,
172,Galaxy Tours,INR 650,2.9,,2+1 Air Suspension A/C Seater / Sleeper,21:45,03h 00m,00:45,
173,Galaxy Tours,INR 800,2.9,,A/C Semi Sleeper (2+2),21:45,01h 59m,23:44,
174,Madhavi Travels,INR 799,4.1,9 Seats available,A/C Sleeper (2+1),00:25,05h 45m,06:10,Calicut
175,Madhavi Travels,INR 599,4.5,19 Seats available,A/C Semi Sleeper (2+2),00:15,06h 00m,06:15,Calicut
176,A1 Travels,INR 700,3.0,35 Seats available,A/C Seater / Sleeper (2+1),20:05,03h 54m,23:59,Calicut
177,Cochin Express,INR 850,3.7,40 Seats available,A/C Sleeper (2+1),23:59,05h 46m,05:45,Kozhikode
178,Cochin Express,INR 700,3.7,19 Seats available,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:59,05h 51m,05:50,Calicut P KABEER TRAVELS MM...
179,A1 Travels,INR 450,3.5,25 Seats available,NON A/C Semi Sleeper (2+2),21:00,04h 30m,01:30,MM Ali Road
180,UFO Bus,612,3.7,36 Seats available,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),00:05,05h 25m,05:30,Kallada Tours & Travels M M A...
181,Adrin Travels,INR 850,4.4,24 Seats available,A/C Seater/Sleeper (2+1),01:20,04h 30m,05:50,MM Ali Road Palayam
182,Arya Travels,INR 849,3.8,11 Seats available,A/C Sleeper (2+1),23:59,05h 31m,05:30,M.M Ali Road Calicut
183,BLM Transports,903,3.5,13 Seats available,A/C Sleeper (2+1),22:00,04h 45m,02:45,Calicut
184,Kallada Travels (Suresh Kallada),INR 1000,3.5,28 Seats available,A/C Sleeper (2+1),01:00,04h 00m,05:00,Calicut
185,Kalpaka Travels 1,INR 600,2.7,26 Seats available,A/C Semi Sleeper (2+2),23:59,05h 01m,05:00,MM Ali Road
186,Ubc travels,INR 900,2.8,26 Seats available,A/C Seater/Sleeper (2+1),01:45,03h 55m,05:40,Kozhikode
187,Kallada Travels (Suresh Kallada),INR 850,1.8,18 Seats available,A/C Sleeper (2+1),23:15,03h 55m,03:10,Calicut
188,LIYAS TOURS,1099,2.8,20 Seats available,Bharat Benz A/C Sleeper (2+1),23:05,04h 10m,03:15,Calicut
189,Madhavi Travels,INR 999,4.0,29 Seats available,A/C Sleeper (2+1),22:20,04h 15m,02:35,MM Ali road
190,Madhavi Travels,INR 899,4.0,33 Seats available,A/C Sleeper (2+1),01:00,05h 00m,06:00,Calicut
191,Surya Connect,INR 630,4.5,34 Seats available,Volvo A/C Semi Sleeper (2+2),23:55,05h 20m,05:15,Kozhikode
192,UFO Bus,599,3.8,34 Seats available,A/C Seater Push Back (2+2),00:20,05h 10m,05:30,Kozhikode
193,A1 Travels,INR 800,4.3,35 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),22:30,02h 59m,01:29,Palayam
194,Kalpaka Travels 1,INR 800,4.5,11 Seats available,A/C Sleeper (2+1),23:59,06h 01m,06:00,M.M Ali Road Calicut
195,Sonia Travels,INR 700,4.1,39 Seats available,A/C Seater/Sleeper (2+1),23:30,04h 00m,03:30,M.M Ali Road Calicut
196,A1 Travels,INR 1200,3.3,15 Seats available,Bharat Benz A/C Sleeper (2+1),23:30,03h 45m,03:15,Palayam
197,A1 Travels,INR 800,3.3,33 Seats available,Bharat Benz A/C Seater /Sleeper (2+1),22:15,03h 30m,01:45,
198,Arya Travels,INR 645,2.3,31 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:59,05h 01m,05:00,
199,Shajees Motors,INR 630,2.6,,A/C Semi Sleeper (2+2),22:30,04h 35m,03:05,
200,EMERALD TRAVELS,INR 700,2.7,,Bharat Benz A/C Semi Sleeper (2+2),21:55,04h 45m,02:40,
