,Names,Bus_fare,Ratings,Seats,Bus_types,Starting_time,Duration,Ending_time,Starting_point
147,Pranjit Travels (Under ASTC),558,4.5,26 Seats available,A/C Seater / Sleeper (2+1),23:00,07h 00m,06:00,Gohpur Bus Stand
148,Yatra Travels,400,3.8,32 Seats available,NON AC Seater/ Sleeper (2+1),22:50,07h 10m,06:00,GOHPUR BUS STAND
149,BLUE HILL TRAVELS INDIA LIMITED,400,3.2,32 Seats available,NON A/C Seater Semi Sleeper (2+1),20:15,07h 30m,03:45,Gohpur Bus Stand
150,Yatra Travels,400,3.2,31 Seats available,NON A/C Seater (2+1),22:35,07h 40m,06:15,Gohpur Bus Stand
151,PARIJAT TRAVELS(UNDER ASTC),INR 550,3.8,24 Seats available,NON A/C Seater (2+1),23:11,07h 19m,06:30,Gohpur
152,Drishti Travels,432,2.8,32 Seats available,NON A/C Seater (2+1),21:00,08h 30m,05:30,Gohpur
153,Pranjit Travels (Under ASTC),527,2.9,31 Seats available,NON A/C Seater (2+1),09:15,07h 30m,16:45,Gohpur Public Bus Stand
154,NORTH EAST TRAVELS(UNDER ASTC),INR 500,2.7,31 Seats available,NON A/C Seater (2+1),20:00,10h 00m,06:00,Gohpur Public Bus Stand
155,Drishti Travels,432,4.5,2 Seats available,NON A/C Seater (2+1),21:00,08h 30m,05:30,GOHPUR BUS STAND
156,Island Travels (Under ASTC),INR 550,4.3,,Non AC Seater (2+1),22:45,07h 00m,05:45,
157,BLUE HILL TRAVELS INDIA LIMITED,400,3.1,,NON A/C Seater Semi Sleeper (2+1),20:30,07h 30m,04:00,
158,Pranjit Travels (Under ASTC),527,4.5,,NON A/C Seater (2+1),22:45,06h 45m,05:30,
159,GURUNANAK TRAVELS,INR 500,4.5,,NON A/C Seater (2+1),21:00,08h 00m,05:00,
160,Karisma (Aziba),INR 500,4.5,,NON A/C Seater (2+1),07:40,06h 30m,14:10,
161,BLUE HILL TRAVELS INDIA LIMITED,430,3.5,,NON A/C Seater Semi Sleeper (2+1),22:00,06h 30m,04:30,
162,BLUE HILL TRAVELS INDIA LIMITED,504,,,NON A/C Seater Semi Sleeper (2+1),19:30,08h 00m,03:30,
163,Sylvan DEE Transport,INR 470,,,Non AC Seater (2+1),20:45,08h 15m,05:00,
164,Deep Travels,618,3.3,26 Seats available,Non AC Seater (2+1),19:00,10h 30m,05:30,ISBT Guwahati
165,NETWORK TRAVELS,INR 800,2.7,30 Seats available,NON A/C Seater Push Back (2+1),17:30,11h 30m,05:00,Paltan Bazar
166,SEEMA TRAVELS,INR 650,2.5,40 Seats available,Non AC Seater (2+2),19:00,10h 00m,05:00,Khanapara
167,Bholanath Travels (Under ASTC),INR 700,3.3,31 Seats available,Non AC Seater (2+1),19:00,10h 00m,05:00,ISBT Guwahati
168,NETWORK TRAVELS,INR 800,2.5,31 Seats available,NON A/C Seater Push Back (2+1),18:00,12h 00m,06:00,Paltan Bazar
169,Assam State Transport Corporation (ASTC) - 166134,INR 281,3.4,35 Seats available,Bharat Benz A/C Seater (2+2),09:00,06h 30m,15:30,Tinsukia
170,NETWORK TRAVELS,INR 450,4.2,35 Seats available,Bharat Benz A/C Seater / Sleeper (2+2),17:00,06h 00m,23:00,Tinsukia
171,NETWORK TRAVELS,300,4.6,,A/C Seater Push Back (2+1),19:00,05h 30m,00:30,
172,Maa Laxmi,INR 400,2.7,,NON A/C Seater Push Back (2+1),16:00,05h 30m,21:30,
173,Purple Wings Coaches,INR 600,1.6,,A/C Seater / Sleeper (2+1),18:30,05h 20m,23:50,
174,NIGHTINGALE TRANSPORT,INR 500,,,NON A/C Seater (2+1),18:45,16h 45m,11:30,
175,Deep Travels,INR 650,3.7,30 Seats available,Non AC Seater (2+1),17:45,10h 45m,04:30,Haflong Bus Stand
176,NETWORK TRAVELS,INR 700,4.1,19 Seats available,NON A/C Seater (2+1),18:00,10h 00m,04:00,Haflong
177,Chartered Bus - ASTC,INR 432.06,4.7,37 Seats available,Volvo AC Seater Pushback 2+2,07:45,03h 45m,11:30,ISBT Guwahati
178,Chartered Bus - ASTC,INR 432.06,4.7,42 Seats available,Volvo AC Seater Pushback 2+2,09:00,04h 00m,13:00,ISBT Guwahati
179,WARISPIYA TRAVELS,INR 360,4.6,31 Seats available,AC Seater (2+2),15:00,03h 40m,18:40,ISBT Guwahati
180,WARISPIYA TRAVELS,INR 360,4.2,28 Seats available,AC Seater (2+2),15:35,03h 40m,19:15,ISBT Guwahati
181,WARISPIYA TRAVELS,INR 360,4.3,31 Seats available,Bharat Benz A/C Seater (2+2),16:15,03h 25m,19:40,ISBT Guwahati
182,Upasana Travels (Under ASTC),INR 330,1.6,24 Seats available,AC Seater (2+2),13:45,04h 15m,18:00,ISBT Guwahati
183,Kalpana Travels,INR 335,2.8,32 Seats available,Non AC Seater (2+2),16:45,03h 45m,20:30,ISBT
184,Yatra Travels,450,3.5,30 Seats available,NON A/C Seater (2+1),07:45,04h 15m,12:00,ISBT Guwahati
185,Mahi Travels(Under ASTC),341,4.1,18 Seats available,A/C Seater (2+2),10:00,05h 30m,15:30,ISBT Guwahati
186,Mahi Travels(Under ASTC),332,3.4,,Bharat Benz A/C Seater (2+2),10:30,04h 55m,15:25,
187,Orient Transline,INR 380.95,4.2,,A/C Seater (2+1),11:30,04h 45m,16:15,
188,Orient Transline,INR 380.95,4.4,,A/C Seater (2+1),13:00,05h 20m,18:20,
189,Yatra Travels,400,3.8,,NON A/C Seater (2+1),18:00,05h 30m,23:30,
190,Yatra Travels,400,3.9,,NON AC Seater/ Sleeper (2+1),20:00,04h 00m,00:00,
191,Pranjit Travels (Under ASTC),463,3.5,,A/C Seater / Sleeper (2+1),20:45,05h 45m,02:30,
192,Pranjit Travels (Under ASTC),INR 450,3.5,,NON A/C Seater (2+1),21:15,04h 15m,01:30,
193,Pranjit Travels (Under ASTC),INR 550,3.9,,A/C Seater (2+1),21:30,05h 00m,02:30,
194,Pranjit Travels (Under ASTC),INR 450,3.9,,NON A/C Seater (2+1),21:45,04h 15m,02:00,
195,Pranjit Travels (Under ASTC),INR 450,4.1,,NON A/C Seater (2+1),21:45,04h 15m,02:00,
196,Pranjit Travels (Under ASTC),INR 450,2.9,,NON A/C Seater (2+1),07:45,05h 25m,13:10,
197,NEELKANTH TRAVELS,INR 300,2.3,,A/C Seater Push Back (2+2),09:05,05h 25m,14:30,
198,BLUE HILL TRAVELS INDIA LIMITED,INR 360,2.1,,NON A/C Seater Semi Sleeper (2+1),09:30,03h 30m,13:00,
199,NETWORK TRAVELS,INR 250,2.6,,NON A/C Seater Push Back (2+2),09:30,06h 45m,16:15,
200,DESTINY TRAVELS,INR 399,1.7,,NON A/C Seater (2+1),18:45,28h 45m,23:30,
201,BLUE HILL TRAVELS INDIA LIMITED,INR 500,,,NON A/C Seater Semi Sleeper (2+1),20:00,05h 15m,01:15,
202,KIRAN TRAVELS,510,,,A/C Seater (2+1),20:40,03h 50m,00:30,
203,Chartered Bus - ASTC,INR 324.04,4.5,32 Seats available,Volvo AC Seater Pushback 2+2,07:45,01h 45m,09:30,ISBT
204,TRINAYAN TRANSPORT (Under ASTC),444,4.1,,A/C Seater (2+1),08:00,03h 30m,11:30,
205,Chartered Bus - ASTC,INR 324.04,4.6,,Volvo AC Seater Pushback 2+2,09:00,02h 15m,11:15,
206,Kareng Travels,278,4.3,,Bharat Benz A/C Seater (2+1),09:30,03h 30m,13:00,
207,Mahi Travels(Under ASTC),284,3.1,,Bharat Benz A/C Seater (2+2),10:30,03h 20m,13:50,
208,Orient Transline,INR 285.71,3.7,,A/C Seater (2+1),11:30,02h 45m,14:15,
209,Kareng Travels,259,4.2,,NON A/C Seater Push Back (2+2),11:45,03h 00m,14:45,
210,Orient Transline,INR 285.71,4.2,,A/C Seater (2+1),13:00,03h 15m,16:15,
211,Baikuntha Transport Service,395,2.9,,Bharat Benz A/C Seater (2+1),08:00,03h 30m,11:30,
212,NEELKANTH TRAVELS,INR 250,2.9,,A/C Seater Push Back (2+2),09:05,02h 55m,12:00,
213,Mahi Travels(Under ASTC),332,2.9,,A/C Seater (2+2),10:00,03h 30m,13:30,
214,Anindita Travels,INR 400,,,NON A/C Seater (2+1),12:30,03h 15m,15:45,
215,DESTINY TRAVELS,INR 299,,,NON A/C Seater (2+1),18:45,27h 05m,21:50,
216,Chartered Bus - ASTC,INR 432.06,4.6,34 Seats available,Volvo AC Seater Pushback 2+2,13:00,04h 00m,17:00,Dulabari centre
217,Chartered Bus - ASTC,INR 432.06,4.6,24 Seats available,Volvo AC Seater Pushback 2+2,15:30,03h 45m,19:15,Mission Chariali
218,SHIVAM TRAVELS,352,4.7,26 Seats available,Bharat Benz A/C Seater (2+1),15:00,04h 15m,19:15,Dolabari Centre
219,Chartered Bus - ASTC,INR 432.06,4.4,,Volvo AC Seater Pushback 2+2,11:30,04h 45m,16:15,
220,DESTINY TRAVELS,INR 400,4.0,,NON A/C Seater (2+1),18:30,09h 15m,03:45,
221,Pankaj Travels(Under ASTC),INR 350,3.3,,AC Seater (2+2),13:10,04h 40m,17:50,
222,KIRAN TRAVELS,306,4.8,,A/C Seater (2+1),12:00,05h 30m,17:30,
223,BLUE HILL TRAVELS INDIA LIMITED,INR 400,3.6,,NON A/C Seater Semi Sleeper (2+1),21:30,06h 00m,03:30,
224,CHARTERED BUS - ASTC,INR 432.06,4.2,,Volvo AC Seater Pushback 2+2,14:30,04h 00m,18:30,
225,BLUE HILL TRAVELS INDIA LIMITED,450,3.5,,NON A/C Seater Semi Sleeper (2+1),22:15,05h 30m,03:45,
226,Pranjit Travels (Under ASTC),INR 450,3.4,,NON A/C Seater (2+1),11:30,05h 15m,16:45,
227,Pranjit Travels (Under ASTC),INR 450,1.5,,NON A/C Seater (2+1),10:10,04h 50m,15:00,
228,Orient Transline,INR 342.86,1.9,,A/C Seater (2+1),07:40,03h 15m,10:55,
229,Maya Travels,INR 300,,,Tata A/C Seater (2+2),13:00,04h 30m,17:30,
